Ford Explorer Limited 2019",1900000000,2019,SUV,Đãquasửdụng,Nhậpkhẩu,7.600km,HàNội,Sốhỗnhợp,Xăng
Mitsubishi Xpander 1.5 AT  2019,539000000,2019,MPV,Đãquasửdụng,Trongnước,47.000km,BìnhDương,Sốtựđộng,Xăng
Ford Fiesta Titanium 1.0 AT EcoBoost 2017,399000000,2017,Hatchback,Đãquasửdụng,Trongnước,42.000km,BìnhDương,Sốtựđộng,
Kia Cerato 2.0 AT Premium 2016,499000000,2016,Sedan,Đãquasửdụng,Trongnước,47.000km,BìnhDương,Sốtựđộng,
Chevrolet Cruze LTZ 2017",419000000,2017,Sedan,Đãquasửdụng,Trongnước,45.000km,BìnhDương,Sốtựđộng,
Kia K3 1.6AT 2013",399000000,2013,Sedan,Đãquasửdụng,Trongnước,80.000km,BìnhDương,Sốtựđộng,
Honda City RS 2021,589000000,2021,Sedan,Đãquasửdụng,Trongnước,18.000km,BìnhDương,Sốtựđộng,
BMW Z4 Sdrive30i 2003,560000000,2003,Coupe,Đãquasửdụng,Nhậpkhẩu,HàNội,Sốtựđộng,Xăng
Mercedes-Benz GLC 200 4Matic 2020,1339000000,2020,SUV,Đãquasửdụng,Trongnước,19.922km,Tp.HCM,Sốtựđộng,Xăng
Mazda 3 1.6L 2014,340000000,2014,Sedan,Đãquasửdụng,Trongnước,90.000km,BìnhDương,Sốtựđộng,Xăng
Toyota Corolla Altis 1.8G MT 2014",455000000,2014,Sedan,Đãquasửdụng,Trongnước,102.304km,HàNội,Sốtay,Xăng
Toyota Fortuner 2.7 V 4X2 AT 2013",515000000,2013,SUV,Đãquasửdụng,Trongnước,60.000km,HàNội,Sốtựđộng,Xăng
Kia Soluto MT 2019,195000000,2019,Sedan,Đãquasửdụng,Trongnước,43.000km,Tp.HCM,Sốtay,Xăng
Kia Morning 2011,132000000,2011,Hatchback,Đãquasửdụng,Trongnước,157.000km,HàNội,Sốtay,Xăng
Daewoo Matiz 2009",185000000,2009,Hatchback,Đãquasửdụng,Nhậpkhẩu,10.000km,HàNội,Sốtựđộng,Xăng
Mazda 3 1.5L Premium 2017,535000000,2017,Sedan,Đãquasửdụng,Trongnước,50.000km,HàNội,Sốtựđộng,Xăng
Kia Rondo 2.0 GMT 2019",469000000,2019,MPV,Đãquasửdụng,Trongnước,54.000km,LâmĐồng,Sốtay,Xăng
Audi A5 Sportback 2.0 TFSI 2015",1059000000,2015,Sedan,Đãquasửdụng,Nhậpkhẩu,75.000km,HàNội,Sốtựđộng,Xăng
Mazda 2 1.5AT 2019,479000000,2019,Sedan,Đãquasửdụng,Trongnước,14.000km,ThanhHóa,Sốtựđộng,Xăng
Mercedes-Benz C200 Exclusive 2020",1299000000,2020,Sedan,Đãquasửdụng,Nhậpkhẩu,16.000km,Tp.HCM,Sốtựđộng,Xăng
Mazda BT-50 1.9 AT 4x2 2015",459000000,2015,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,80.000km,HàNội,Sốtựđộng,Diesel
Toyota Corolla Altis 2.0 AT 2009",390000000,2009,Sedan,Đãquasửdụng,Trongnước,120.000km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz C 250 2009",365000000,2009,Sedan,Đãquasửdụng,Trongnước,111.111km,Tp.HCM,Sốtựđộng,Xăng
BMW 325i 2011",465000000,2011,Sedan,Đãquasửdụng,Nhậpkhẩu,140.000km,HàNội,Sốtựđộng,Xăng
Land Rover Range Rover Evoque Prestige 2014",1080000000,2014,SUV,Đãquasửdụng,Trongnước,99.779km,HàNội,Sốtựđộng,Xăng
Lexus RX 350 L 2014,1799000000,2014,SUV,Đãquasửdụng,Trongnước,62.000km,HàNội,Sốtựđộng,Xăng
Mercedes-Benz GLS 450 4MATIC 2021,6600000000,2021,SUV,Đãquasửdụng,Nhậpkhẩu,190km,HàNội,Sốtựđộng,Xăng
Hyundai Elantra GLS 2.0 AT 2019,605000000,2019,Sedan,Đãquasửdụng,Trongnước,30.000km,Tp.HCM,Sốtựđộng,Xăng
Mazda BT-50 4x4MT 2014",415000000,2014,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,130.000km,HàNội,Sốtay,Xăng
Ford Ranger XLS 2.2 4x2 AT 2015,520000000,2015,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,80.000km,HàNội,Sốtựđộng,Xăng
Ford Ranger XLS 2.2 4x2 AT 2015,520000000,2015,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,80.000km,HàNội,Sốtựđộng,Xăng
Hyundai Grand i10 Hatchback 1.2 MT 2016,240000000,2016,Hatchback,Đãquasửdụng,Nhậpkhẩu,50.000km,HàNội,Sốtay,Xăng
Toyota Vios 1.5G AT 2017,425000000,2017,Sedan,Đãquasửdụng,Trongnước,80.000km,HàNội,Sốtựđộng,Xăng
Chevrolet Cruze LTZ 1.8 2017,435000000,2017,Sedan,Đãquasửdụng,Trongnước,50.000km,BìnhDương,Sốtựđộng,Xăng
Ford Ranger Wildtrak 3.2 4x4 AT 2015,705000000,2015,Pick-upTruck,Đãquasửdụng,Nhậpkhẩu,70.000km,HàNội,Sốtựđộng,Xăng
